"COMPOUND_ID"|"COMPOUND_NAME"|"FORMULA"|"MASS"|"KNAPSACK_ID"|"NP_ATLAS_ID"|"BIOLOGICAL_ACTIVITY"|"INCHI"|"INCHI_KEY"|"SMILES"
"15779"|"Chlorflavonin"|"C18H15ClO7"|"378.050633"|"C00001026"|"4439"|"Antifungal"|"InChI=1S/C18H15ClO7/c1-23-11-7-10(20)12-14(22)18(25-3)15(26-17(12)16(11)24-2)8-5-4-6-9(19)13(8)21/h4-7,20-21H,1-3H3"|"JLSQXYITDXJTKL-UHFFFAOYSA-N"|"COc1c2OC(=C(OC)C(=O)c2c(O)cc1OC)c1cccc(Cl)c1O"
"17533"|"Orsellinic acid"|"C8H8O4"|"168.04226"|"N|"N|"N|"InChI=1S/C8H8O4/c1-4-2-5(9)3-6(10)7(4)8(11)12/h2-3,9-10H,1H3,(H,11,12)"|"AMKYESDOVDKZKV-UHFFFAOYSA-N"|"Cc1cc(O)cc(O)c1C(O)=O"
"17534"|"6-Methylsalicylic acid"|"C8H8O3"|"152.047345"|"C00000486"|"N|"N|"InChI=1S/C8H8O3/c1-5-3-2-4-6(9)7(5)8(10)11/h2-4,9H,1H3,(H,10,11)"|"HCJMNOSIAGSZBM-UHFFFAOYSA-N"|"Cc1cccc(O)c1C(O)=O"
"17542"|"Chrysophanol"|"C15H10O4"|"254.057908808"|"N|"N|"N|"InChI=1S/C15H10O4/c1-7-5-9-13(11(17)6-7)15(19)12-8(14(9)18)3-2-4-10(12)16/h2-6,16-17H,1H3"|"LQGUBLBATBMXHT-UHFFFAOYSA-N"|"CC1=CC2=C(C(O)=C1)C(=O)C1=C(C=CC=C1O)C2=O"
"17544"|"Emodin"|"C15H10O5"|"270.05282343"|"C00000555"|"20090"|"N|"InChI=1S/C15H10O5/c1-6-2-8-12(10(17)3-6)15(20)13-9(14(8)19)4-7(16)5-11(13)18/h2-5,16-18H,1H3"|"RHMXXJGYXNZAPX-UHFFFAOYSA-N"|"CC1=CC2=C(C(O)=C1)C(=O)C1=C(C=C(O)C=C1O)C2=O"
"17559"|"Griseofulvin"|"C17H17ClO6"|"352.071365983"|"N|"N|"N|"InChI=1S/C17H17ClO6/c1-8-5-9(19)6-12(23-4)17(8)16(20)13-10(21-2)7-11(22-3)14(18)15(13)24-17/h6-8H,5H2,1-4H3/t8-,17+/m1/s1"|"DDUHZTYCFQRHIY-RBHXEPJQSA-N"|"COC1=CC(OC)=C(Cl)C2=C1C(=O)[C@]1(O2)[C@H](C)CC(=O)C=C1OC"
"17563"|"Lecanoric acid"|"C16H14O7"|"318.073955"|"N|"N|"N|"InChI=1S/C16H14O7/c1-7-3-9(17)5-11(18)14(7)16(22)23-10-4-8(2)13(15(20)21)12(19)6-10/h3-6,17-19H,1-2H3,(H,20,21)"|"HEMSJKZDHNSSEW-UHFFFAOYSA-N"|"Cc1cc(cc(O)c1C(O)=O)OC(=O)c1c(O)cc(O)cc1C"
"17616"|"Cyclosporin A"|"C62H111N11O12"|"1201.841368"|"N|"N|"N|"InChI=1S/C62H111N11O12/c1-25-27-28-40(15)52(75)51-56(79)65-43(26-2)58(81)67(18)33-48(74)68(19)44(29-34(3)4)55(78)66-49(38(11)12)61(84)69(20)45(30-35(5)6)54(77)63-41(16)53(76)64-42(17)57(80)70(21)46(31-36(7)8)59(82)71(22)47(32-37(9)10)60(83)72(23)50(39(13)14)62(85)73(51)24/h25,27,34-47,49-52,75H,26,28-33H2,1-24H3,(H,63,77)(H,64,76)(H,65,79)(H,66,78)/b27-25+"|"PMATZTZNYRCHOR-IMVLJIQESA-N"|"C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C"
"25253"|"Caproic acid"|"C6H12O2"|"116.083729628"|"N|"N|"N|"InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)"|"FUZZWVXGSFPDMH-UHFFFAOYSA-N"|"CCCCCC(O)=O"
"25318"|"Phthioic acid"|"C26H52O2"|"396.396731"|"N|"N|"N|"InChI=1S/C26H52O2/c1-5-6-17-23(2)19-15-12-16-20-24(3)18-13-10-8-7-9-11-14-21-25(4)22-26(27)28/h23-25H,5-22H2,1-4H3,(H,27,28)"|"GDZJBTPONREEGO-UHFFFAOYSA-N"|"C(C(C)CCCCCCCCCC(C)CC(=O)O)CCCCC(C)CCCC"
"25802"|"9E,12Z-octadecadienoic acid"|"C18H32O2"|"280.240231"|"C00001224"|"N|"N|"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9+"|"OYHQOLUKZRVURQ-IXWMQOLASA-N"|"C(CCCCCCC(=O)O)/C=C/C/C=CCCCCC"
"27560"|"2E-Decenedioic acid"|"C10H16O4"|"200.10486"|"N|"N|"N|"InChI=1S/C10H16O4/c11-9(12)7-5-3-1-2-4-6-8-10(13)14/h5,7H,1-4,6,8H2,(H,11,12)(H,13,14)/b7-5+"|"XUNMWLWTZWWEIE-FNORWQNLSA-N"|"C(/C=C/CCCCCCC(=O)O)(=O)O"
"27571"|"Succinic acid"|"C4H6O4"|"118.02660868"|"N|"N|"N|"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)"|"KDYFGRWQOYBRFD-UHFFFAOYSA-N"|"OC(=O)CCC(O)=O"
"27589"|"Itaconic acid"|"C5H6O4"|"130.02660868"|"N|"N|"N|"InChI=1S/C5H6O4/c1-3(5(8)9)2-4(6)7/h1-2H2,(H,6,7)(H,8,9)"|"LVHBHZANLOWSRM-UHFFFAOYSA-N"|"OC(=O)CC(=C)C(O)=O"
"27702"|"Avenoleic acid"|"C18H32O3"|"296.235146"|"N|"N|"N|"InChI=1S/C18H32O3/c1-2-14-17(19)15-12-10-8-6-4-3-5-7-9-11-13-16-18(20)21/h4,6,10,12,17,19H,2-3,5,7-9,11,13-16H2,1H3,(H,20,21)/b6-4-,12-10-/t17-/m1/s1"|"MZQXAWAWDWCIKG-SPSBLGDNSA-N"|"C(CCCCCCC/C=CC/C=CC[C@H](O)CCC)(=O)O"
"30580"|"2Z-Octen-1-ol"|"C8H16O"|"128.120115134"|"N|"8349"|"N|"InChI=1S/C8H16O/c1-2-3-4-5-6-7-8-9/h6-7,9H,2-5,8H2,1H3/b7-6-"|"AYQPVPFZWIQERS-SREVYHEPSA-N"|"CCCCC\C=C/CO"
"30584"|"n-octanol"|"C8H18O"|"130.135765198"|"N|"7602"|"N|"InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3"|"KBPLFHHGFOOTCA-UHFFFAOYSA-N"|"CCCCCCCCO"
"30712"|"Octan-3R-ol"|"C8H18O"|"130.135765"|"N|"2709"|"N|"InChI=1S/C8H18O/c1-3-5-6-7-8(9)4-2/h8-9H,3-7H2,1-2H3/t8-/m1/s1"|"NMRPBPVERJPACX-MRVPVSSYSA-N"|"CC[C@@H](O)CCCCC"
"30883"|"Pravastatin"|"C23H36O7"|"424.246103506"|"N|"N|"N|"InChI=1S/C23H36O7/c1-4-13(2)23(29)30-20-11-17(25)9-15-6-5-14(3)19(22(15)20)8-7-16(24)10-18(26)12-21(27)28/h5-6,9,13-14,16-20,22,24-26H,4,7-8,10-12H2,1-3H3,(H,27,28)/t13-,14-,16+,17+,18+,19-,20-,22-/m0/s1"|"TUZYXOIXSAXUGO-PZAWKZKUSA-N"|"[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC"
"32008"|"Isobutyl enanthate"|"C11H22O2"|"186.161979948"|"N|"28057"|"N|"InChI=1S/C11H22O2/c1-4-5-6-7-8-11(12)13-9-10(2)3/h10H,4-9H2,1-3H3"|"HXJOYVPESRRCDB-UHFFFAOYSA-N"|"CCCCCCC(=O)OCC(C)C"
"32020"|"Methyl (S)-2-Methylbutanoate"|"C6H12O2"|"116.083729628"|"N|"3841"|"N|"InChI=1S/C6H12O2/c1-4-5(2)6(7)8-3/h5H,4H2,1-3H3"|"OCWLYWIFNDCWRZ-UHFFFAOYSA-N"|"CCC(C)C(=O)OC"
"32193"|"butyrolactone"|"C4H6O2"|"86.036779436"|"N|"N|"N|"InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2"|"YEJRWHAVMIAJKC-UHFFFAOYSA-N"|"O=C1CCCO1"
"32996"|"dodecane"|"C12H26"|"170.203450832"|"N|"1623"|"N|"InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3"|"SNRUBQQJIBEYMU-UHFFFAOYSA-N"|"CCCCCCCCCCCC"
"33027"|"7,11-Dimethyl-3-methylene-1,6E,10-dodecatriene"|"C15H24"|"204.187800773"|"N|"13150"|"N|"InChI=1S/C15H24/c1-6-14(4)10-8-12-15(5)11-7-9-13(2)3/h6,9,12H,1,4,7-8,10-11H2,2-3,5H3/b15-12+"|"JSNRRGGBADWTMC-NTCAYCPXSA-N"|"[H]\C(CCC(=C)C=C)=C(\C)CCC=C(C)C"
"33041"|"3,5,7-Trimethyl-2E,4E,6E,8E-decatetraene"|"C13H20"|"176.1565"|"N|"9029"|"N|"InChI=1S/C13H20/c1-6-8-12(4)10-13(5)9-11(3)7-2/h6-10H,1-5H3/b8-6+,11-7+,12-10+,13-9+"|"RRPFGKUHEMWGSW-RYNMLCPOSA-N"|"C/C=C(C)/C=C(C)/C=C(C)/C=C/C"
"33296"|"1-Docosene"|"C22H44"|"308.344301417"|"N|"10551"|"N|"InChI=1S/C22H44/c1-3-5-7-9-11-13-15-17-19-21-22-20-18-16-14-12-10-8-6-4-2/h3H,1,4-22H2,2H3"|"SPURMHFLEKVAAS-UHFFFAOYSA-N"|"CCCCCCCCCCCCCCCCCCCCC=C"
"33298"|"1-Eicosene"|"C20H40"|"280.313001"|"N|"1078"|"N|"InChI=1S/C20H40/c1-3-5-7-9-11-13-15-17-19-20-18-16-14-12-10-8-6-4-2/h3H,1,4-20H2,2H3"|"VAMFXQBUQXONLZ-UHFFFAOYSA-N"|"C=CCCCCCCCCCCCCCCCCCC"
"33304"|"1-Hexacosene"|"C26H52"|"364.406901664"|"N|"9770"|"N|"InChI=1S/C26H52/c1-3-5-7-9-11-13-15-17-19-21-23-25-26-24-22-20-18-16-14-12-10-8-6-4-2/h3H,1,4-26H2,2H3"|"OMXANELYEWRDAW-UHFFFAOYSA-N"|"CCCCCCCCCCCCCCCCCCCCCCCCC=C"
"33309"|"1-Octadecene"|"C18H36"|"252.281701"|"N|"16271"|"N|"InChI=1S/C18H36/c1-3-5-7-9-11-13-15-17-18-16-14-12-10-8-6-4-2/h3H,1,4-18H2,2H3"|"CCCMONHAUSKTEQ-UHFFFAOYSA-N"|"C=CCCCCCCCCCCCCCCCC"
"33312"|"1-Tetracosene"|"C24H48"|"336.375601"|"N|"1695"|"N|"InChI=1S/C24H48/c1-3-5-7-9-11-13-15-17-19-21-23-24-22-20-18-16-14-12-10-8-6-4-2/h3H,1,4-24H2,2H3"|"ZDLBWMYNYNATIW-UHFFFAOYSA-N"|"C=CCCCCCCCCCCCCCCCCCCCCCC"
"33313"|"1-Tetradecene"|"C14H28"|"196.219100896"|"N|"15644"|"N|"InChI=1S/C14H28/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h3H,1,4-14H2,2H3"|"HFDVRLIODXPAHB-UHFFFAOYSA-N"|"CCCCCCCCCCCCC=C"
"33572"|"3-methyl-1-heptene"|"C8H16"|"112.125200512"|"N|"6261"|"N|"InChI=1S/C8H16/c1-4-6-7-8(3)5-2/h5,8H,2,4,6-7H2,1,3H3"|"QDMFTFWKTYXBIW-UHFFFAOYSA-N"|"CCCCC(C)C=C"
"33731"|"6-Methylheptan-2-one"|"C8H16O"|"128.120115"|"N|"12789"|"N|"InChI=1S/C8H16O/c1-7(2)5-4-6-8(3)9/h7H,4-6H2,1-3H3"|"DPLGXGDPPMLJHN-UHFFFAOYSA-N"|"CC(=O)CCCC(C)C"
"33849"|"Heptadecan-9-one"|"C17H34O"|"254.260966"|"N|"10373"|"N|"InChI=1S/C17H34O/c1-3-5-7-9-11-13-15-17(18)16-14-12-10-8-6-4-2/h3-16H2,1-2H3"|"WTJKUFMLQFLJOT-UHFFFAOYSA-N"|"CCCCCCCCC(=O)CCCCCCCC"
"34152"|"Sphingofungin A"|"C21H41N3O6"|"431.299537"|"C00017276"|"17409"|"N|"InChI=1S/C21H41N3O6/c1-2-3-4-9-12-15(25)13-10-7-5-6-8-11-14-16(26)18(27)19(28)17(20(29)30)24-21(22)23/h11,14-19,25-28H,2-10,12-13H2,1H3,(H,29,30)(H4,22,23,24)/b14-11+/t15-,16+,17+,18-,19-/m1/s1"|"FFZVMOYYSHXZHW-MXSQXUFFSA-N"|"CCCCCC[C@@H](O)CCCCCC/C=C/[C@H](O)[C@@H](O)[C@H](O)[C@H](NC(N)=N)C(O)=O"
"34153"|"Sphingofungin B"|"C20H39NO6"|"389.277739"|"C00017277"|"19672"|"N|"InChI=1S/C20H39NO6/c1-2-3-4-9-12-15(22)13-10-7-5-6-8-11-14-16(23)18(24)19(25)17(21)20(26)27/h11,14-19,22-25H,2-10,12-13,21H2,1H3,(H,26,27)/b14-11+/t15-,16+,17+,18-,19-/m1/s1"|"UAPFYKYEEDCCTL-MXSQXUFFSA-N"|"CCCCCC[C@@H](O)CCCCCC/C=C/[C@H](O)[C@@H](O)[C@H](O)[C@H](N)C(O)=O"
"34154"|"Sphingofungin C"|"C22H41NO7"|"431.288304"|"C00017278"|"15248"|"N|"InChI=1S/C22H41NO7/c1-3-4-5-10-13-17(25)14-11-8-6-7-9-12-15-18(30-16(2)24)20(26)21(27)19(23)22(28)29/h12,15,17-21,25-27H,3-11,13-14,23H2,1-2H3,(H,28,29)/b15-12+/t17-,18+,19+,20-,21-/m1/s1"|"PBKBHDLANIOIKK-RXCFHPIVSA-N"|"CC(=O)O[C@@H](/C=C/CCCCCC[C@H](O)CCCCCC)[C@@H](O)[C@H](O)[C@H](N)C(O)=O"
"34155"|"Sphingofungin D"|"C22H41NO7"|"431.288304"|"C00017279"|"2156"|"N|"InChI=1S/C22H41NO7/c1-3-4-5-10-13-17(25)14-11-8-6-7-9-12-15-18(26)20(27)21(28)19(22(29)30)23-16(2)24/h12,15,17-21,25-28H,3-11,13-14H2,1-2H3,(H,23,24)(H,29,30)/b15-12+/t17-,18+,19+,20-,21-/m1/s1"|"VKFZVQCKAPPEFZ-RXCFHPIVSA-N"|"CC(=O)N[C@@H]([C@@H](O)[C@H](O)[C@@H](O)/C=C/CCCCCC[C@H](O)CCCCCC)C(O)=O"
"38409"|"Cholesterol"|"C27H46O"|"386.354866094"|"C00003648"|"N|"N|"InChI=1S/C27H46O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9,18-19,21-25,28H,6-8,10-17H2,1-5H3/t19-,21+,22+,23-,24+,25+,26+,27-/m1/s1"|"HVYWMOMLDIMFJA-DPAQBDIFSA-N"|"[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C"
"38425"|"Lanosterol"|"C30H50O"|"426.386166222"|"C00003657"|"N|"N|"InChI=1S/C30H50O/c1-20(2)10-9-11-21(3)22-14-18-30(8)24-12-13-25-27(4,5)26(31)16-17-28(25,6)23(24)15-19-29(22,30)7/h10,21-22,25-26,31H,9,11-19H2,1-8H3/t21-,22-,25+,26+,28-,29-,30+/m1/s1"|"CAHGCLMLTWQZNJ-BQNIITSRSA-N"|"[H][C@@]1(CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@]1([H])CC3)[C@H](C)CCC=C(C)C"
"38879"|"ergosta-5,7,22,24(28)-tetraen-3beta-ol"|"C28H42O"|"394.323566"|"C00023764"|"N|"N|"InChI=1S/C28H42O/c1-18(2)19(3)7-8-20(4)24-11-12-25-23-10-9-21-17-22(29)13-15-27(21,5)26(23)14-16-28(24,25)6/h7-10,18,20,22,24-26,29H,3,11-17H2,1-2,4-6H3/b8-7+/t20-,22+,24-,25+,26+,27+,28-/m1/s1"|"SQFQJKZSFOZDJY-CVGLIYDESA-N"|"CC(C)C(=C)/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C"
"39004"|"Sitosterol"|"C29H50O"|"414.38616623"|"C00003672"|"N|"N|"InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3/t20-,21-,23+,24+,25-,26+,27+,28+,29-/m1/s1"|"KZJWDPNRJALLNS-VJSFXXLFSA-N"|"[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@@H](CC)C(C)C"
"43336"|"(±)-Furaneol"|"C6H8O3"|"128.047344122"|"N|"15223"|"N|"InChI=1S/C6H8O3/c1-3-5(7)6(8)4(2)9-3/h3,8H,1-2H3"|"INAXVXBDKKUCGI-UHFFFAOYSA-N"|"CC1OC(C)=C(O)C1=O"
"44329"|"Citreoviridin D"|"C24H32O6"|"416.219888756"|"C00055195"|"N|"N|"InChI=1S/C24H32O6/c1-15(14-23(5)22(26)24(6,27)18(4)30-23)12-10-8-9-11-13-19-16(2)20(28-7)17(3)21(25)29-19/h8-14,18,22,26-27H,1-7H3/b9-8+,12-10-,13-11-,15-14+"|"WQOZGNFAVRFSGE-ULPXYLRASA-N"|"COC1=C(C)C(=O)OC(\C=C/C=C/C=C\C(\C)=C\C2(C)OC(C)C(C)(O)C2O)=C1C"
"45793"|"2-Ethylfuran"|"C6H8O"|"96.057514878"|"N|"14078"|"N|"InChI=1S/C6H8O/c1-2-6-4-3-5-7-6/h3-5H,2H2,1H3"|"HLPIHRDZBHXTFJ-UHFFFAOYSA-N"|"CCC1=CC=CO1"
"48472"|"Citric acid"|"C6H8O7"|"192.02700261"|"N|"N|"N|"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)"|"KRKNYBCHXYNGOX-UHFFFAOYSA-N"|"OC(=O)CC(O)(CC(O)=O)C(O)=O"
"50952"|"Ustiloxin B"|"C26H39N5O12S"|"645.231592427"|"N|"N|"N|"InChI=1S/C26H39N5O12S/c1-5-26(3)21(24(39)29-9-18(34)35)31-22(37)11(2)30-23(38)19(28-4)20(36)13-7-16(43-26)15(33)8-17(13)44(42)10-12(32)6-14(27)25(40)41/h7-8,11-12,14,19-21,28,32-33,36H,5-6,9-10,27H2,1-4H3,(H,29,39)(H,30,38)(H,31,37)(H,34,35)(H,40,41)"|"BISPUFPESHDUKH-UHFFFAOYSA-N"|"CCC1(C)OC2=CC(C(O)C(NC)\C(O)=N/C(C)\C(O)=N\C1\C(O)=N\CC(O)=O)=C(C=C2O)S(=O)CC(O)CC(N)C(O)=O"
"51010"|"Fumigaclavine A"|"C18H22N2O2"|"298.168127958"|"C00011246"|"N|"N|"InChI=1S/C18H22N2O2/c1-10-9-20(3)15-7-12-8-19-14-6-4-5-13(16(12)14)17(15)18(10)22-11(2)21/h4-6,8,10,15,17-19H,7,9H2,1-3H3"|"GJSSYQDXZLZOLR-UHFFFAOYSA-N"|"CC1CN(C)C2CC3=CNC4=CC=CC(C2C1OC(C)=O)=C34"
"52498"|"beta-Elemene"|"C15H24"|"204.187800768"|"N|"673"|"N|"InChI=1S/C15H24/c1-7-15(6)9-8-13(11(2)3)10-14(15)12(4)5/h7,13-14H,1-2,4,8-10H2,3,5-6H3/t13-,14+,15-/m1/s1"|"OPFTUNCRGUEPRZ-QLFBSQMISA-N"|"CC(=C)[C@@H]1CC[C@@](C)(C=C)[C@@H](C1)C(C)=C"
"53072"|"Aflatoxin G"|"C17H12O7"|"328.058302738"|"N|"N|"N|"InChI=1S/C17H12O7/c1-20-9-6-10-12(8-3-5-22-17(8)23-10)14-11(9)7-2-4-21-15(18)13(7)16(19)24-14/h3,5-6,8,17H,2,4H2,1H3"|"XWIYFDMXXLINPU-UHFFFAOYSA-N"|"COC1=CC2=C(C3C=COC3O2)C2=C1C1=C(C(=O)OCC1)C(=O)O2"
"53266"|"Sterigmatocystin"|"C18H12O6"|"324.063388116"|"C00000563"|"5925"|"N|"InChI=1S/C18H12O6/c1-21-11-7-12-13(8-5-6-22-18(8)24-12)17-15(11)16(20)14-9(19)3-2-4-10(14)23-17/h2-8,18-19H,1H3"|"UTSVPXMQSFGQTM-UHFFFAOYSA-N"|"COC1=CC2=C(C3C=COC3O2)C2=C1C(=O)C1=C(O)C=CC=C1O2"
"56349"|"Patulin"|"C7H6O4"|"154.02660868"|"C00024000"|"N|"Antimicrobial;Mycotoxin;Carcinogenic;Mutagen"|"InChI=1S/C7H6O4/c8-6-3-4-5(11-6)1-2-10-7(4)9/h1,3,7,9H,2H2"|"ZRWPUFFVAOMMNM-UHFFFAOYSA-N"|"OC1OCC=C2OC(=O)C=C12"
"58623"|"Austin"|"C27H32O9"|"500.204632622"|"C00054302"|"28986"|"N|"InChI=1S/C27H32O9/c1-13-18-19(34-16(4)28)24(8)14(2)26(20(30)33-15(3)27(26,32)21(31)36-24)23(18,7)11-12-25(13)10-9-17(29)35-22(25,5)6/h9-10,15,19,32H,2,11-12H2,1,3-8H3"|"DEMDOYQPCDXCEB-UHFFFAOYSA-N"|"CC1OC(=O)C23C(=C)C(C)(OC(=O)C12O)C(OC(C)=O)C1=C(C)C2(CCC31C)C=CC(=O)OC2(C)C"
